mnemonic,unit,value,descr,API,file,MaxDepth
BHT:1,,N/A,Bottom Hole Temperature,0508107602,0508107602_2955193.las,5978.0
MRT:1,,N/A,Max Recorded Temperature,0508107602,0508107602_2955193.las,5978.0
BHT:2,,,Bottom Hole Temperature,0508107602,0508107602_2955193.las,5978.0
MRT:2,,,Max Recorded Temperature,0508107602,0508107602_2955193.las,5978.0
BHT:3,,,Bottom Hole Temperature,0508107602,0508107602_2955193.las,5978.0
MRT:3,,,Max Recorded Temperature,0508107602,0508107602_2955193.las,5978.0
BHT,DEGF,100.0,Bottom Hole Temperature (used in calculations),0508107620,0508107620_2892634.las,2309.0
MRT,,,Maximum Recorded Temperature,0508107620,0508107620_2892634.las,2309.0
BHT,DEGF,100.0,Bottom Hole Temperature (used in calculations),0508107620,0508107620_2892635.las,1752.5
MRT,,,Maximum Recorded Temperature,0508107620,0508107620_2892635.las,1752.5
BHT,DEGF,100.0,Bottom Hole Temperature (used in calculations),0508107620,0508107620_2892636.las,2311.5
MRT,,,Maximum Recorded Temperature,0508107620,0508107620_2892636.las,2311.5
BHT,DEGF,100.0,Bottom Hole Temperature (used in calculations),0508107620,0508107620_2892637.las,1952.5
MRT,,,Maximum Recorded Temperature,0508107620,0508107620_2892637.las,1952.5
BHT,DEGF,100.0,Bottom Hole Temperature (used in calculations),0508107620,0508107620_2892638.las,2311.0
MRT,,,Maximum Recorded Temperature,0508107620,0508107620_2892638.las,2311.0
BHT,DEGF,106.0,Bottom Hole Temperature (used in calculations),0508107620,0508107620_2892639.las,3200.0
MRT,DEGF,106.0,Maximum Recorded Temperature,0508107620,0508107620_2892639.las,3200.0
BHT,DEGF,106.0,Bottom Hole Temperature (used in calculations),0508107620,0508107620_2892640.las,3200.0
MRT,DEGF,106.0,Maximum Recorded Temperature,0508107620,0508107620_2892640.las,3200.0
BHT,DEGF,106.0,Bottom Hole Temperature,0508107620,0508107620_2892642.las,3200.0
MRT,DEGF,106.0,Maximum Recorded Temperature,0508107620,0508107620_2892642.las,3200.0
BHT,DEGF,106.0,Bottom Hole Temperature,0508107620,0508107620_2892643.las,3203.0
MRT,DEGF,106.0,Maximum Recorded Temperature,0508107620,0508107620_2892643.las,3203.0
BHT,DEGF,106.0,Bottom Hole Temperature,0508107620,0508107620_2892644.las,3202.5
MRT,DEGF,106.0,Maximum Recorded Temperature,0508107620,0508107620_2892644.las,3202.5
BHT,DEGF,106.0,Bottom Hole Temperature,0508107620,0508107620_2892645.las,3203.0
MRT,DEGF,106.0,Maximum Recorded Temperature,0508107620,0508107620_2892645.las,3203.0
BHT,DEGF,106.0,Bottom Hole Temperature,0508107620,0508107620_2892646.las,3203.0
MRT,DEGF,106.0,Maximum Recorded Temperature,0508107620,0508107620_2892646.las,3203.0
BHT,DEGF,100.0,Bottom Hole Temperature (used in calculations),0508107622,0508107622_2892622.las,900.0
MRT,,,Maximum Recorded Temperature,0508107622,0508107622_2892622.las,900.0
BHT,DEGF,100.0,Bottom Hole Temperature (used in calculations),0508107622,0508107622_2892624.las,3130.0
MRT,,,Maximum Recorded Temperature,0508107622,0508107622_2892624.las,3130.0
BHT,DEGF,100.0,Bottom Hole Temperature (used in calculations),0508107622,0508107622_2892625.las,3130.0
MRT,,,Maximum Recorded Temperature,0508107622,0508107622_2892625.las,3130.0
BHT,DEGF,99.0,Bottom Hole Temperature (used in calculations),0508107622,0508107622_2892626.las,3262.5
MRT,DEGF,99.0,Maximum Recorded Temperature,0508107622,0508107622_2892626.las,3262.5
BOTTEMP,degF,100.0,Bottom Hole Temperature,0508107627,0508107627_2785920.las,9780.5
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107654,0508107654_2753675.las,6150.0
MRT,DEGF,153.0,Maximum Recorded Temperature,0508107654,0508107654_2753675.las,6150.0
BHT,DEGF,170.0,Bottom Hole Temperature (used in calculations),0508107654,0508107654_2753678.las,7716.0
MRT,DEGF,170.0,Maximum Recorded Temperature,0508107654,0508107654_2753678.las,7716.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107654,0508107654_2753679.las,7695.0
MRT,,,Maximum Recorded Temperature,0508107654,0508107654_2753679.las,7695.0
BHT,DEGF,170.0,Bottom Hole Temperature (used in calculations),0508107654,0508107654_2875663.las,7716.0
MRT,DEGF,170.0,Maximum Recorded Temperature,0508107654,0508107654_2875663.las,7716.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107654,0508107654_2875665.las,6150.0
MRT,DEGF,153.0,Maximum Recorded Temperature,0508107654,0508107654_2875665.las,6150.0
BHT,DEGF,125.0,Bottom Hole Temperature (used in calculations),0508107654,0508107654_2875670.las,5194.5
MRT,DEGF,125.0,Maximum Recorded Temperature,0508107654,0508107654_2875670.las,5194.5
BHT,DEGF,158.0,Bottom Hole Temperature (used in calculations),0508107656,0508107656_2845600.las,6700.5
